"","Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"15","1996",0.0208567904876729,0.0765017090645211,0.146201517031581,0.308511895482613,0.495940148088779,0.633161933923739,0.803242786728528,0.910581403353538,1.05142289424868,1.17753865552943,1.39039135009105,1.49804426063018,1.68041411313245,1.66469245393658,1.74959587249085
"16","1997",0.0174624667954372,0.0788320641879994,0.212612390502602,0.308975029223372,0.391147413906745,0.623224967426124,0.745275434859646,0.889388978183125,1.11529013136787,1.19412613378911,1.35356765778365,1.51050302735085,1.57705209885012,1.62632352405886,1.72463007545513
"17","1998",0.0181554126095302,0.0696200619435251,0.194457574709921,0.321274039743071,0.466398216679431,0.525737036343327,0.803241429294339,0.893799171079514,1.00885991802434,1.07157813092211,1.26874940574368,1.3569570597737,1.47958617634283,1.8663849169938,1.82430626314242
"18","1999",0.0151785651053124,0.0779970621234013,0.217243586790758,0.34765480724196,0.40883076855193,0.561093950192174,0.698949926924436,0.896499678142907,1.07926955191092,1.15464150317441,1.29870957246463,1.32420800509032,1.73406681673937,1.72966869464027,1.93439487044635
"19","2000",0.0138270776021035,0.0788647057753228,0.245129519172293,0.401286800039679,0.484397816802649,0.572394653844147,0.702530395524433,0.78510502276612,0.941652488745077,1.15950799562798,1.37001230888938,1.48707147360001,1.74858928741391,1.73121645954226,1.92214419443973
"20","2001",0.0170811251434068,0.0775222439076681,0.185104895220276,0.368578139639671,0.536032364306477,0.670235216752625,0.798722503471284,0.88320701548486,0.992472249410927,1.11739454481432,1.33379481101137,1.48753392202651,1.5717862850354,1.75624721330309,1.80703908035188
"21","2002",0.0168714324989895,0.0932645972158153,0.247986080177229,0.392031538197305,0.519176053047781,0.678331127105106,0.765054239353412,0.943162597894688,1.02697461335546,1.11512241342665,1.11926478274245,1.38268302747354,1.56009364983313,1.71464739171797,1.85533246823676
"22","2003",0.0264946278525221,0.11338773502218,0.285144507886994,0.463409312798025,0.61860907749104,0.732706953487553,0.814164958973619,0.968127307895867,1.04321222487723,1.19880981767401,1.24387208423801,1.35486059037462,1.53936602453826,1.51778851239036,1.63309925634753
"23","2004",0.0227211902454371,0.107495582620704,0.289502576807091,0.428674069125511,0.568902742684555,0.68905552547437,0.819708546370327,0.927673978083958,1.03918615836059,1.14386036135935,1.20343085988828,1.2896376439539,1.44594622114483,1.72602110539118,1.66120326442764
"24","2005",0.0216618755523499,0.0887549253560885,0.232799965825764,0.399025946824489,0.51449681022661,0.630027698866608,0.808817320892389,0.939640879057317,1.01626540022245,1.09376442464925,1.35452304478508,1.28952006877137,1.29292146949814,1.46178707131419,1.56666551779126
"25","2006",0.010637072485363,0.0867662073312307,0.177328418464223,0.442916151540952,0.599906483832864,0.698364136902922,0.815622874831351,0.891435087648427,1.04138687084428,1.16005645054509,1.28280373734011,1.39650319893129,1.47449311085751,1.42001803777543,1.48944021051674
"26","2007",0.0136890341429933,0.101821938786779,0.269510575287277,0.499229265279213,0.63056400613835,0.796626630778325,0.901470273604114,1.03968765674107,1.14586484113836,1.41544269565075,1.36946964935392,1.42799960395094,1.71902548445872,1.63708088273695,1.6632218253524
"27","2008",0.0140144941906687,0.0551830839249068,0.227090147438163,0.457375380638306,0.592647046674112,0.724397814681217,0.84806819900843,1.01058287209594,1.05461849971168,1.20356959477214,1.54493179687245,1.51326409456634,1.73683668524648,1.83880842654698,1.90761999044871
"28","2009",0.0116405740637518,0.0742615118873484,0.228281049628771,0.492272511527993,0.676725307525132,0.787197820060597,1.00155053276709,1.14249111953594,1.16893743161894,1.45844259099902,1.57329637058575,1.74971722067653,2.06402555736519,2.25591380343972,2.28423998685168
"29","2010",0.0192962718714477,0.0776375147373751,0.267434902689997,0.511394671600845,0.675030234868582,0.874108896507917,1.08981147666093,1.18555516798963,1.2444773907074,1.35471120132302,1.46831450108971,1.66374615772267,1.87191430627776,2.19020266234954,2.35064134301704
"30","2011",0.0164207923244073,0.0858342046927762,0.219851310700046,0.49742068431909,0.661796219527409,0.773175945156157,0.936163660064285,1.11619277846363,1.24672894887399,1.2929016666321,1.44141094806039,1.52404321088608,1.63266375225854,1.70780280124107,1.96450198682935
"31","2012",0.014731530825604,0.0756665410951534,0.207376650477179,0.421111066167767,0.606922923762389,0.785056625865167,0.933539432381377,1.1282503228571,1.33410962582583,1.40142705217799,1.43723985692249,1.52359559595674,1.56519804900793,1.83440620112191,1.96033975853749
"32","2013",0.0176147396411024,0.0785311041834857,0.21736508177425,0.50620447514896,0.586058999788014,0.750187571875508,0.992841031234733,1.15401654609714,1.3505663204153,1.37660277793425,1.5269994213383,1.57288901423754,1.70548766179581,1.83714690379143,1.89508770710705
"33","2014",0.0188152734607919,0.109866060872615,0.269196410362468,0.458085346775403,0.572699081371029,0.7167062919184,0.78996818214083,1.10557729558431,1.22671156644903,1.3772273279392,1.64080177856213,1.59396237191654,1.67264056138232,1.82862622772828,1.86352211058684
"34","2015",0.0194115602020084,0.090078433190048,0.323233132479058,0.447131170728189,0.590537326277061,0.68596059411725,0.783971642251694,0.904983009227866,1.16567065574839,1.20269803986529,1.49415196294249,1.5528660442875,1.456722929759,1.46582757936891,1.69285919478604
"35","2016",0.02307063378218,0.0798693889660531,0.306571341629219,0.530769130605793,0.6004490158179,0.695805155836013,0.775930784060463,0.825756811099456,0.903339860656934,1.00349866920668,1.12692138452861,1.61379469408075,1.34918723833763,1.52406039598347,1.41039680013447
"36","2017",0.0200776801405077,0.0918963499039596,0.263182955338957,0.474500278540222,0.624495756419936,0.673006980690541,0.75592016422652,0.811442654056276,0.887269826334098,0.909799185443766,1.04437693266774,0.996212070642642,1.26211100727533,1.09044416061914,1.45855792009699
"37","2018",0.0221956572351835,0.0920641618626026,0.246730109629627,0.432670378235255,0.59292382283137,0.68682975188759,0.781042544707436,0.819757644320504,0.893827597905928,0.929798774152854,1.0458239933851,0.963029466596319,1.44419031516772,NA,1.54955914256581
"38","2019",0.0202222878921775,0.107079469579679,0.299186551439822,0.498949239490781,0.633578810679606,0.731975236173941,0.821172143643947,0.924198832385185,0.929556823751999,1.01281127985785,0.950351687544406,1.06137194126332,1.05497108870603,1.00685944020974,NA
