"","age","Year","LL","ML","LM"
"63","3",1986,154.306870019793,145.711386502608,230.411384943796
"64","4",1986,363.729646314313,381.809916019882,408.021477524262
"65","5",1986,442.213296470955,436.909039678228,553.545042549433
"66","6",1986,654.806894663803,682.800959099849,695.507448309248
"67","7",1986,826.940767939764,880.354995143025,848.964291113431
"68","8",1986,1017.91416648075,1080.75007955278,1006.4863786101
"69","9",1986,1264.01151083315,1307.51833886848,1165.81580641776
"70","10",1986,1612.55466999297,1545.34830877879,1320.68377490121
"71","11",1986,1671.30021645809,1663.80379905721,1399.92954817744
"72","12",1986,1982.07392551034,1883.50826396352,1533.69659337391
"73","13",1986,1937.71225078125,1849.82795329366,1708.30462537782
"74","14",1986,2188.73931767682,2052.3999296261,1775.90212494527
"75","1",1987,27.0379430434799,29.0735972458648,17.4219906803643
"76","2",1987,103.086882024193,96.0930360193241,94.912409391262
"77","3",1987,247.387282732197,241.525209331547,227.485789305316
"78","4",1987,296.325168989618,302.048150262954,404.361959260879
"79","5",1987,420.699232826635,437.467323589488,531.863354183202
"80","6",1987,553.492762969519,583.787043100567,663.418288299841
"81","7",1987,701.173951488675,725.304303618939,815.645972671148
"82","8",1987,854.845321714333,868.555070933992,983.048266314635
"83","9",1987,988.101540761801,1003.56184817144,1123.98877980941
"84","10",1987,1211.22284687902,1182.71534785531,1268.9649280897
"85","11",1987,1512.25424102054,1447.41384880278,1452.18348180089
"86","12",1987,1516.94450643643,1402.03749450803,1575.3982542427
"87","13",1987,1905.51026807547,1799.98661866516,1720.72734301242
"88","14",1987,2167.35213723547,2007.70779728848,1790.0762879776
"89","15",1987,2124.53259469583,2089.08290708704,1859.19746320199
"90","1",1988,17.8089788311503,15.6115346505698,20.5113464274873
"91","2",1988,78.6412937386645,86.3610557569558,82.2690229999587
"92","3",1988,244.96008394644,254.529994197495,233.410574877225
"93","4",1988,329.358583267355,354.843198325079,410.366793473292
"94","5",1988,444.04303650855,454.671548459015,536.837595718623
"95","6",1988,527.148789938771,567.498305549814,663.52777107723
"96","7",1988,661.641689722844,695.676784543585,814.36955556519
"97","8",1988,885.356774160845,913.439569458174,970.943879862245
"98","9",1988,907.539903850795,953.628804608847,1090.51169073842
"99","10",1988,1098.90878486851,1109.10857085117,1236.01267473563
"100","11",1988,1374.37923731528,1345.97738946858,1402.95216024115
"101","12",1988,1405.58286782612,1375.42486085934,1482.80674390778
"102","13",1988,1900.29537387486,1835.12763953731,1675.80589558594
"103","14",1988,1171.07098451951,1224.88898083259,1602.99632194262
"104","15",1988,1699.20356237921,1606.74819023474,1932.29832742522
"105","1",1989,21.7124258056333,22.569249128946,17.9711112104633
"106","2",1989,84.3403090926392,97.6772134162468,77.4390531195807
"107","3",1989,172.853946129074,182.307904665386,207.219504690983
"108","4",1989,302.203944757799,345.951115740809,385.58298193446
"109","5",1989,386.546978791525,434.683664909832,522.732712501084
"110","6",1989,519.100929850683,540.831298238173,674.627357094532
"111","7",1989,712.50757016467,728.202973291516,812.49167312681
"112","8",1989,812.567333449111,830.654378649416,973.205655801265
"113","9",1989,1084.77165915787,1099.14054206686,1104.61440521618
"114","10",1989,1065.10621732625,1083.9728829834,1212.38391355222
"115","11",1989,1208.584487311,1229.66126497857,1349.95305716878
"116","12",1989,1274.47668715639,1290.17756202575,1435.30258184935
"117","13",1989,1333.47723494315,1351.70960838011,1596.42533529196
"118","14",1989,1291.79587284924,1319.03141014901,1627.1584078962
"119","15",1989,1371.69867977203,1401.55600789349,1787.50837614591
"120","1",1990,18.0043622303008,17.0448841941401,18.7016738091756
"121","2",1990,102.253826002472,89.7698481028335,93.8193413096358
"122","3",1990,148.268749139291,141.378084345806,233.245486550571
"123","4",1990,349.66139701782,347.857739098317,400.43728303523
"124","5",1990,447.685867828773,461.06731894359,534.002366971711
"125","6",1990,537.022905774621,567.248997877743,669.28109033363
"126","7",1990,633.008836970231,658.008037184724,815.750284452946
"127","8",1990,739.743138298707,791.307575273389,957.675917891039
"128","9",1990,907.136977573181,981.945534386459,1073.41974669355
"129","10",1990,1113.14705639147,1181.74021562259,1195.07274621754
"130","11",1990,1289.0584968948,1324.04369603813,1351.71902247591
"131","12",1990,1304.09011198676,1374.43149384463,1395.25778482882
"132","13",1990,1413.49802512851,1471.10021733382,1568.61766601901
"133","14",1990,1502.87368089771,1552.51677811314,1617.50563201815
"134","15",1990,1649.69956784928,1726.84234421247,1748.17919566224
"135","1",1991,22.957414717273,20.4170306873434,20.0110135069751
"136","2",1991,108.614253290516,86.1751023181807,93.5171438120489
"137","3",1991,202.115559757156,177.147081344769,236.348373653445
"138","4",1991,354.709722294457,342.828146403222,413.490045326456
"139","5",1991,561.498451158243,567.209754755262,549.001591499702
"140","6",1991,639.819033284645,656.397385023224,689.369196437777
"141","7",1991,715.786443541816,736.506851559735,827.614825960204
"142","8",1991,814.360689225168,826.633211936731,982.315110640135
"143","9",1991,987.371449960595,1008.99102999312,1102.87607602768
"144","10",1991,1112.88252790238,1156.85296541266,1213.65739983258
"145","11",1991,1370.0673416044,1410.50838864746,1354.04440623041
"146","12",1991,1393.93637860311,1412.57470016356,1431.82651973212
"147","13",1991,1548.4520805134,1603.47164403235,1568.23113206686
"148","14",1991,1824.37745411152,1842.40363983141,1641.86910872087
"149","15",1991,1822.91677285031,1866.81617300885,1784.32911960569
"150","1",1992,17.6761272109757,18.0582302252139,18.3334471853267
"151","2",1992,96.0575496007674,75.0010002491034,101.815900562399
"152","3",1992,271.702200599754,248.888357889791,247.835863447142
"153","4",1992,379.763374462293,370.592964123334,420.130930072306
"154","5",1992,509.388129496813,515.547977643951,543.270668596667
"155","6",1992,575.52554711878,585.843088264991,678.710192665304
"156","7",1992,773.926681738923,790.864887095881,819.879869518936
"157","8",1992,919.978877358689,934.532427667528,975.458173761749
"158","9",1992,965.872048368847,1014.24752887776,1089.48110481418
"159","10",1992,1079.67692395813,1121.55291286704,1203.25069111307
"160","11",1992,1253.81279801903,1306.06329651609,1333.58799986447
"161","12",1992,1438.73679153969,1467.76015245058,1427.40347850248
"162","13",1992,1609.97033392246,1634.031142174,1599.72492434801
"163","14",1992,1647.05635799727,1671.17167492946,1643.8866207115
"164","15",1992,1646.13963379169,1649.91744480685,1823.76420720052
"165","1",1993,14.754844464554,15.9284184400511,17.2527183983552
"166","2",1993,87.0012488943479,90.6497276825151,82.6558961938079
"167","3",1993,275.33131880949,256.298980112111,241.12433932806
"168","4",1993,467.24480919863,422.582900611827,447.118055652488
"169","5",1993,519.282434985711,492.540116194128,577.552451856201
"170","6",1993,640.022400963607,617.925934288248,712.234681902701
"171","7",1993,751.781777515,741.850290968183,843.805874277821
"172","8",1993,893.431505155433,895.358430628776,987.480575002245
"173","9",1993,1096.8196097238,1118.45545729645,1108.82780158487
