"","type","age","year","data","SE"
"328","model",13,1992,1609.97033392246,89.1215268287887
"329","model",14,1992,1647.05635799726,96.3868720212014
"330","model",15,1992,1646.13963379167,98.043038377085
"346","model",1,1993,14.7548444645541,1.68683629058823
"347","model",2,1993,87.0012488943507,7.47970880066412
"348","model",3,1993,275.331318809493,21.5294694057128
"349","model",4,1993,467.244809198629,25.857089859674
"350","model",5,1993,519.282434985713,31.8959734856293
"351","model",6,1993,640.022400963606,39.9196313726727
"352","model",7,1993,751.781777515005,44.6819135739559
"353","model",8,1993,893.431505155434,39.1985400557533
"354","model",9,1993,1096.81960972381,44.0727544868411
"355","model",10,1993,1114.41931126728,44.798876057678
"356","model",11,1993,1326.31358357911,55.3031958146521
"357","model",12,1993,1408.51376936705,58.0821761609748
"358","model",13,1993,1566.05261864108,81.0622824988266
"359","model",14,1993,1661.90469685582,89.5479962896359
"360","model",15,1993,1746.32076807074,82.486009500277
"376","model",1,1994,18.8463775705299,2.22902847980115
"377","model",2,1994,81.9759890297838,7.622449318244
"378","model",3,1994,219.529767029147,14.3037492151722
"379","model",4,1994,386.183526906818,18.3065548829478
"380","model",5,1994,558.437329262192,18.2638941925427
"381","model",6,1994,676.753104345943,31.0629954148984
"382","model",7,1994,727.419408219373,44.3670398656431
"383","model",8,1994,1059.18575590107,70.2684754640397
"384","model",9,1994,1239.29279585522,77.985209409343
"385","model",10,1994,1197.63679217991,66.1479989923004
"386","model",11,1994,1334.10409327187,82.7968165369572
"387","model",12,1994,1414.33927876312,76.2480037761598
"388","model",13,1994,1542.21057676728,119.54056717489
"389","model",14,1994,1671.79798163875,130.902085845612
"390","model",15,1994,1729.00985800311,112.368173666195
"406","model",1,1995,16.1715016150834,1.61348221749574
"407","model",2,1995,57.6830342739113,8.68721367804837
"408","model",3,1995,150.856533956586,10.69716236513
"409","model",4,1995,347.597932023133,14.8356995193811
"410","model",5,1995,488.956233091078,21.6516614530682
"411","model",6,1995,655.912562956565,30.2497804940389
"412","model",7,1995,693.889633206313,32.2352481738039
"413","model",8,1995,917.46988991765,62.8252340807985
"414","model",9,1995,1083.58576624343,65.8895295538801
"415","model",10,1995,1304.52072573345,87.5381683030939
"416","model",11,1995,1324.75025487197,69.2472895652163
"417","model",12,1995,1388.10679189527,84.8057244413946
"418","model",13,1995,1505.27713691756,76.8591395276777
"419","model",14,1995,1473.24580201085,100.469355425344
"420","model",15,1995,1714.59164246586,94.2349516491271
"436","model",1,1996,20.8567904876729,1.96620016482232
"437","model",2,1996,76.5017090645193,6.29091921702309
"438","model",3,1996,146.201517031581,16.4015505245229
"439","model",4,1996,308.511895482611,20.7679399268827
"440","model",5,1996,495.940148088774,33.3400286473181
"441","model",6,1996,633.161933923737,41.049167949689
"442","model",7,1996,803.242786728523,38.8147744009507
"443","model",8,1996,910.58140335353,41.8962862472139
"444","model",9,1996,1051.42289424868,62.2254308922788
"445","model",10,1996,1177.53865552945,73.375486864482
"446","model",11,1996,1390.39135009107,84.1846350012159
"447","model",12,1996,1498.04426063017,74.635068290234
"448","model",13,1996,1680.41411313243,102.41287363885
"449","model",14,1996,1664.6924539366,87.2142503913327
"450","model",15,1996,1749.5958724909,85.0969327986667
"466","model",1,1997,17.4624667954375,1.91281197231649
"467","model",2,1997,78.8320641879986,7.36973096661172
"468","model",3,1997,212.612390502606,18.594073481843
"469","model",4,1997,308.975029223373,19.62717162892
"470","model",5,1997,391.14741390675,23.5601815945324
"471","model",6,1997,623.224967426136,34.584040261155
"472","model",7,1997,745.275434859647,34.2556147542896
"473","model",8,1997,889.388978183134,34.8159657753403
"474","model",9,1997,1115.29013136787,61.9995434169122
"475","model",10,1997,1194.12613378911,117.801044143167
"476","model",11,1997,1353.56765778365,104.010558237255
"477","model",12,1997,1510.50302735084,93.5004423233893
"478","model",13,1997,1577.05209885014,81.7742931773532
"479","model",14,1997,1626.32352405884,112.77782608397
"480","model",15,1997,1724.63007545512,76.8324970693799
"496","model",1,1998,18.1554126095303,1.62121649222394
"497","model",2,1998,69.6200619435238,6.28451371337249
"498","model",3,1998,194.457574709919,15.578227568251
"499","model",4,1998,321.274039743072,20.2419381940505
"500","model",5,1998,466.398216679432,25.7281775921237
"501","model",6,1998,525.73703634333,20.7785865585083
"502","model",7,1998,803.241429294352,31.9914556182103
"503","model",8,1998,893.799171079515,35.8445050124105
"504","model",9,1998,1008.85991802433,40.0692360839702
"505","model",10,1998,1071.57813092211,65.491747049522
"506","model",11,1998,1268.74940574368,96.7062942765392
"507","model",12,1998,1356.95705977369,134.384543912329
"508","model",13,1998,1479.58617634283,111.189235124854
"509","model",14,1998,1866.38491699381,134.40501320067
"510","model",15,1998,1824.30626314242,100.417548912015
"526","model",1,1999,15.1785651053126,1.40900837546704
"527","model",2,1999,77.9970621234005,8.52599820383032
"528","model",3,1999,217.243586790759,14.8139813574359
"529","model",4,1999,347.654807241959,14.6720558436291
"530","model",5,1999,408.830768551934,20.5442329683031
"531","model",6,1999,561.093950192182,25.002246103857
"532","model",7,1999,698.949926924419,24.3104314197662
"533","model",8,1999,896.499678142912,35.6360791882852
"534","model",9,1999,1079.26955191093,45.4586878130331
"535","model",10,1999,1154.64150317441,46.8180163125716
"536","model",11,1999,1298.70957246464,69.3668183937414
"537","model",12,1999,1324.20800509031,91.3620467997857
"538","model",13,1999,1734.06681673937,140.007209329408
"539","model",14,1999,1729.66869464024,105.483876359607
"540","model",15,1999,1934.39487044634,88.5087430077578
"556","model",1,2000,13.8270776021035,1.31600940154454
"557","model",2,2000,78.8647057753208,5.48655545278985
"558","model",3,2000,245.129519172291,29.9610899982525
"559","model",4,2000,401.286800039674,29.2802540458472
"560","model",5,2000,484.397816802652,29.3650130008084
"561","model",6,2000,572.394653844152,32.5929599393617
"562","model",7,2000,702.530395524448,39.0663233335644
