"","Year","age","awwaa","awwaa_kg"
"62","2005",2,88.7549253560885,0.0887549253560885
"63","2006",2,86.7662073312307,0.0867662073312307
"64","2007",2,101.821938786779,0.101821938786779
"65","2008",2,55.1830839249068,0.0551830839249068
"66","2009",2,74.2615118873484,0.0742615118873484
"67","2010",2,77.6375147373751,0.0776375147373751
"68","2011",2,85.8342046927762,0.0858342046927762
"69","2012",2,75.6665410951534,0.0756665410951534
"70","2013",2,78.5311041834857,0.0785311041834857
"71","2014",2,109.866060872615,0.109866060872615
"72","2015",2,90.078433190048,0.090078433190048
"73","2016",2,79.8693889660531,0.0798693889660531
"74","2017",2,91.8963499039596,0.0918963499039596
"75","2018",2,92.0641618626026,0.0920641618626026
"76","2019",2,107.079469579679,0.107079469579679
"77","1982",3,186.604254884558,0.186604254884558
"78","1983",3,187.758427043552,0.187758427043552
"79","1984",3,197.111607160495,0.197111607160495
"80","1985",3,191.361336012868,0.191361336012868
"81","1986",3,154.306870019793,0.154306870019793
"82","1987",3,247.387282732197,0.247387282732197
"83","1988",3,244.96008394644,0.24496008394644
"84","1989",3,172.853946129074,0.172853946129074
"85","1990",3,148.268749139291,0.148268749139291
"86","1991",3,202.115559757156,0.202115559757156
"87","1992",3,271.702200599754,0.271702200599754
"88","1993",3,275.33131880949,0.27533131880949
"89","1994",3,219.529767029149,0.219529767029149
"90","1995",3,150.856533956585,0.150856533956585
"91","1996",3,146.201517031581,0.146201517031581
"92","1997",3,212.612390502602,0.212612390502602
"93","1998",3,194.457574709921,0.194457574709921
"94","1999",3,217.243586790758,0.217243586790758
"95","2000",3,245.129519172293,0.245129519172293
"96","2001",3,185.104895220276,0.185104895220276
"97","2002",3,247.986080177229,0.247986080177229
"98","2003",3,285.144507886994,0.285144507886994
"99","2004",3,289.502576807091,0.289502576807091
"100","2005",3,232.799965825764,0.232799965825764
"101","2006",3,177.328418464223,0.177328418464223
"102","2007",3,269.510575287276,0.269510575287277
"103","2008",3,227.090147438163,0.227090147438163
"104","2009",3,228.281049628771,0.228281049628771
"105","2010",3,267.434902689997,0.267434902689997
"106","2011",3,219.851310700046,0.219851310700046
"107","2012",3,207.376650477179,0.207376650477179
"108","2013",3,217.36508177425,0.21736508177425
"109","2014",3,269.196410362468,0.269196410362468
"110","2015",3,323.233132479058,0.323233132479058
"111","2016",3,306.571341629219,0.306571341629219
"112","2017",3,263.182955338957,0.263182955338957
"113","2018",3,246.730109629627,0.246730109629627
"114","2019",3,299.186551439822,0.299186551439822
"115","1982",4,371.183345103408,0.371183345103408
"116","1983",4,345.586677271613,0.345586677271613
"117","1984",4,297.691523106565,0.297691523106565
"118","1985",4,343.006800752128,0.343006800752128
"119","1986",4,363.729646314313,0.363729646314313
"120","1987",4,296.325168989618,0.296325168989618
"121","1988",4,329.358583267355,0.329358583267355
"122","1989",4,302.203944757799,0.302203944757799
"123","1990",4,349.66139701782,0.34966139701782
"124","1991",4,354.709722294457,0.354709722294457
"125","1992",4,379.763374462293,0.379763374462293
"126","1993",4,467.24480919863,0.46724480919863
"127","1994",4,386.183526906816,0.386183526906816
"128","1995",4,347.597932023135,0.347597932023135
"129","1996",4,308.511895482613,0.308511895482613
"130","1997",4,308.975029223372,0.308975029223372
"131","1998",4,321.27403974307,0.321274039743071
"132","1999",4,347.65480724196,0.34765480724196
"133","2000",4,401.286800039679,0.401286800039679
"134","2001",4,368.578139639671,0.368578139639671
"135","2002",4,392.031538197305,0.392031538197305
"136","2003",4,463.409312798025,0.463409312798025
"137","2004",4,428.674069125511,0.428674069125511
"138","2005",4,399.025946824489,0.399025946824489
"139","2006",4,442.916151540952,0.442916151540952
"140","2007",4,499.229265279213,0.499229265279213
"141","2008",4,457.375380638306,0.457375380638306
"142","2009",4,492.272511527993,0.492272511527993
"143","2010",4,511.394671600845,0.511394671600845
"144","2011",4,497.42068431909,0.49742068431909
"145","2012",4,421.111066167767,0.421111066167767
